Lab No,Crop 2023,Planting Method,Tillage,Soil Type,Cover Crop,Crop_Diversity,Grazing,Fertilization,Lime,Longtitude,Latitude,Field,Sample_ID,Season,Date_Rept,B_Depth,E_Depth,pH,Buffer_pH,Salts,Excess_Lime,OM%,AA_K,M3_S,DTPA_Zn,M3_Fe,DTPA_Mn,DTPA_Cu,AA_Ca,AA_Mg,AA_Na,CEC,%Hsat,%Ksat,%Casat,%Mgsat,%Nasat,M3_P,NO3_N_H2O,OC_H2O_mg/kg,ON_H2O_mg/kg,CN_H2O,,Aggstab1_2mm,BulkAgStab1_2mm,NH4_N_H2O,CO2_24hr,WSA_Mod,N_H2O,SoilHealth,%MAC,ON_release_ppm,ON_reserve_ppm,H3A_NO3,H3A_NH4,H3A_IN,H3A_P,H3A_IP,H3A_OP,H3A_ICAPK,H3A_ICAPCa,H3A_ICAPAl,H3A_ICAPFe,H3A_ICAPS,H3A_ICAPZn,H3A_ICAPMn,H3ACu,H3A_ICAPMg,H3A_ICAPNa,Biomass,Diversity_Index,Bacteria%,TotalBacteriabiomass,Actinomycetes%,Actinomycetes_Biomass,Gram_neg%,Gram_neg_biomass,Rhizobia%,Rhizobia_Biomass,TotalFungi%,Total_Fungi_Biomass,Arbuscular_Myc%,Arbuscular_Myc_biomass,Saprophytic%,Saprophytes_Biomass,Protozoan%,Protozoa_biomasss,gram_pos_biomass,gram_pos%,Undifferentiated%,UndifferentiatedBiomass,Fungi_Bacteria,Predator_Prey,Grampos_Gramneg,Sat_Unsat,Mono_Poly,Pre161w7ccy170,Pre181w7ccy190,2N KCl NO3-N ppm N,KCl NH4-N ppm,% Sand,% Silt,% Clay,Texture,Ace Protein g/Kg
247976,Soybeans,,No-Till,,Cover Crop,Low Crop Diversity,,,,-95.6667,39.3885,S2,S2_F ,Fall,11/27/2023,0,8,6,6.6,0.13,NONE,4.1,83,5.9,0.39,47.2,5.7,0.64,2238,402,36,18.9,21,1,59,18,1,7,4.35,184,13.7,13.43,,55,5,0.1,210.8,75,18.2,22.3,114.7,13.7,0,7.2,2.5,,11,1.9,9.1,44,647,144,74,7.8,0.48,3.3,0.15,148,49,1380.51,1.407,49.33,680.94,12.71,175.41,11.52,159.04,0,0,9.15,126.32,3.24,44.77,5.91,81.56,0,0,521.9,37.8,41.52,573.24,0.1855,ALL PREY,3.2814,2.5939,16.0597,1.9581,0.5393,,,6,50,44,Silty Clay,
247977,Soybeans,,No-Till,,Cover Crop,Low Crop Diversity,,,,-95.6684,39.3875,S2,S2_G ,Fall,11/27/2023,0,8,5.5,6.4,0.13,NONE,4.2,104,6.5,0.72,72.7,9.9,0.92,2190,335,17,20.4,31,1,54,14,0,14,6.16,162,13,12.46,,59,15,0.5,195,77,19.6,20.92,120.7,13,0,9.9,2.9,,13,2.5,10.5,66,666,146,95,8.4,0.65,4.9,0.74,135,28,2301.37,1.406,48.62,1118.92,11.4,262.35,10.39,239.22,0,0,8.58,197.37,2.97,68.46,5.6,128.91,0.5,11.52,879.71,38.23,42.3,973.54,0.1764,0.0103,3.6774,2.9086,14.3496,1.9327,0.4613,,,6,50,44,Silty Clay,
247978,Soybeans,,No-Till,,Cover Crop,Low Crop Diversity,,,,-95.6674,39.3875,S2,S2_H,Fall,11/27/2023,0,8,6.1,6.6,0.09,NONE,4.2,104,5.2,0.83,54.1,7.5,0.76,2557,413,31,20.7,20,1,61,17,1,10,3.78,175,13.2,13.26,,55,16,0.01,136.7,72,17.1,17.55,78.2,13.2,0,6.1,2.3,,9,1.7,7.3,45,648,136,68,6.9,0.43,3.2,0.1,135,37,2060.71,1.394,53.3,1098.46,12.99,267.6,11.33,233.41,0,0,8.66,178.45,2.87,59.21,5.79,119.25,0.52,10.76,865.04,41.98,37.51,773.03,0.1625,0.0098,3.706,2.8923,19.5629,2.0035,0.506,,,4,52,44,Silty Clay,
247979,Soybeans,,No-Till,,Cover Crop,Low Crop Diversity,,,,-95.6664,39.3875,S2,S2_I ,Fall,11/27/2023,0,8,5.9,6.5,0.11,NONE,3.7,80,6.2,0.35,47.6,6.6,0.69,2183,386,46,19.5,26,1,56,16,1,8,3.82,163,12.7,12.83,,43,SAND PRESENT,0.01,198.2,64,16.6,21.09,121.8,12.7,0,6.4,2.6,,8,1.8,6.2,36,574,128,64,7.6,0.49,3.4,0.39,127,49,1870.58,1.411,51.79,968.76,12.95,242.3,11.87,222.05,0,0,8.34,155.98,2.82,52.69,5.52,103.29,0.52,9.72,746.72,39.92,39.35,736.12,0.161,0.01,3.3629,2.7599,16.2199,2.1015,0.584,,,10,48,42,Silty Clay,
247980,Soybeans,,No-Till,,Cover Crop,Low Crop Diversity,,,,-95.6681,39.3865,S2,S2_J ,Fall,11/27/2023,0,8,5.6,6.3,0.11,NONE,5,112,5.7,0.74,79.8,11.2,0.98,2335,380,13,22.6,33,1,52,14,0,12,3.08,167,11.5,14.52,,65,50,0.1,176.2,74,14.7,19.77,105.6,11.5,0,6.2,2.6,,13,2,11,56,648,161,105,8,0.68,5,0.15,138,23,1974.06,1.395,44.72,882.8,10.72,211.72,10.15,200.4,0,0,8.73,172.37,2.73,53.83,6,118.54,0,0,682.4,34.57,46.55,918.9,0.1952,ALL PREY,3.4051,2.7084,17.7321,1.9076,0.5389,,,2,52,46,Silty Clay,
247981,Corn,,No-Till,,Cover Crop,High Crop Diversity,,,,-95.67,39.3865,S3,S3_A ,Fall,11/27/2023,0,8,6.2,6.5,0.13,NONE,4.8,106,5,2.08,48,7,0.65,2723,404,13,22,21,1,62,15,0,21,2.29,141,10.6,13.3,,59,34,0.1,205.8,71,13,20.87,145.6,10.6,0,3.5,2.1,,19,6.4,12.6,53,789,130,69,9,1.05,3.7,0.26,147,20,2565.9,1.482,51.33,1317.07,13.25,339.93,13.38,343.39,0,0,11.22,287.98,3.62,92.81,7.61,195.16,0.51,13.2,973.68,37.95,36.93,947.65,0.2187,0.01,2.8355,2.4364,61.7585,2.1281,0.667,,,2,54,44,Silty Clay,
247982,Corn,,No-Till,,Cover Crop,High Crop Diversity,,,,-95.67,39.3855,S3,S3_B ,Fall,11/27/2023,0,8,6.8,7.2,0.22,LOW,5.9,152,10.4,2.13,39.5,4.2,0.78,2900,467,19,18.9,0,2,77,21,0,36,2.16,215,16.8,12.8,,63,38,0.4,235.7,75,19.3,24.51,109.7,16.8,0,4.5,3.4,,43,19.1,23.9,85,1155,116,62,15.5,1.57,4.1,0.19,207,26,3159.65,1.518,51.25,1619.44,11.68,369.03,15.93,503.33,0.4,12.67,11.56,365.15,3.95,124.94,7.6,240.21,0.42,13.18,1116.1,35.32,36.77,1161.89,0.2255,0.0081,2.2174,2.0784,33.7146,2.229,0.8224,,,2,48,50,Silty Clay,
247983,Corn,,No-Till,,Cover Crop,High Crop Diversity,,,,-95.671,39.3845,S3,S3_C ,Fall,11/27/2023,0,8,6.8,7.2,0.19,NONE,5.6,94,7.6,1.13,32.4,3.6,0.68,2469,333,15,15.4,0,2,80,18,0,49,3.19,184,15.6,11.79,,56,46,0.01,173.2,65,18.9,20.36,94,15.6,0,5.8,2.7,,56,28.5,27.5,66,1252,120,64,14.4,1.01,3.8,0.17,204,28,3124.64,1.519,53.19,1661.95,13.58,424.47,17.09,534.16,0.42,13.2,11.08,346.3,3.9,121.97,7.18,224.33,0.35,10.78,1127.8,36.09,35.38,1105.6,0.2084,0.0065,2.1114,2.1055,38.8906,2.1673,0.8525,,,2,50,48,Silty Clay,
247984,Corn,,No-Till,,Cover Crop,High Crop Diversity,,,,-95.67,39.3845,S3,S3_D ,Fall,11/27/2023,0,8,7.1,7.2,0.2,LOW,6,164,9,3.37,30.6,5,0.85,3658,531,24,23.2,0,2,79,19,0,56,2.94,202,15.2,13.29,,72,66,0.01,251.7,83,18.1,24.86,124.9,15.2,0,0.2,0.4,,3,0.1,2.9,2,35,< 1,< 1,1,0.12,0.1,0.07,8,6,3075.24,1.523,55.22,1698,15.08,463.82,14.89,457.96,0.4,12.35,10.07,309.73,3.37,103.66,6.7,206.07,1.22,37.65,1240.04,40.32,33.49,1029.85,0.1824,0.0222,2.7077,2.5733,17.8317,1.9903,0.6531,,,4,48,48,Silty Clay,
247985,Corn,,No-Till,,Cover Crop,High Crop Diversity,,,,-95.6703,39.3838,S3,S3_E,Fall,11/27/2023,0,8,6.7,7.2,0.19,NONE,5.7,132,7.4,5.01,35,4.3,0.73,3092,467,24,19.8,0,2,77,20,1,31,3.04,201,14.5,13.86,,62,43,0.01,296.5,73,17.5,26.75,147.7,14.5,0,4.7,2.4,,29,13.4,15.6,63,918,109,53,12.3,1.76,3,0.18,172,30,4260.02,1.511,49.61,2113.24,11.72,499.07,14.17,603.55,0.32,13.79,13.51,575.6,3.26,138.73,10.26,436.87,0.3,12.71,1509.7,35.44,36.58,1558.46,0.2724,0.006,2.5014,2.1124,6.688,2.2104,0.7326,,,0,52,48,Silty Clay,
247986,Corn,,No-Till,,Cover Crop,High Crop Diversity,,,,-95.6703,39.3835,S3,S3_F,Fall,11/27/2023,0,8,7,7.2,0.17,LOW,5,219,7,1.45,37.1,4.6,0.7,2886,390,18,18.3,0,3,79,18,0,29,3,184,15.4,11.95,,56,34,0.01,277.4,68,18.4,25.69,150.9,15.4,0,4.7,2.5,,35,16.4,18.6,107,1015,109,59,11.7,0.88,3.6,0.14,172,26,3504.51,1.498,50.04,1753.79,13.07,457.93,13.92,487.87,0.36,12.66,9.83,344.58,3.41,119.51,6.42,225.07,0.37,13.02,1265.93,36.12,39.75,1393.13,0.1965,0.0074,2.5948,2.4063,31.9492,2.1616,0.818,,,8,50,42,Silty Clay,
247988,Corn,,No-Till,,Cover Crop,High Crop Diversity,,,,-95.6654,39.3865,S4,S4_A ,Fall,11/27/2023,0,8,5.9,6.5,0.14,NONE,4.6,80,7.8,0.91,83.8,7.4,0.47,1803,275,26,16.6,30,1,54,14,1,12,3.79,199,14.6,13.63,,28,SAND PRESENT,0.6,264.1,57,19,25.31,133,14.6,0,6,2.7,,11,2.2,8.8,46,657,111,85,9.5,0.69,4.2,0.11,129,33,3451.57,1.422,52.48,1811.28,11.6,400.5,12.27,423.37,0.33,11.36,11.39,393.17,3.1,107.01,8.29,286.16,0,0,1387.91,40.21,36.13,1247.14,0.2171,ALL PREY,3.2782,2.5742,33.549,2.1613,0.3678,,,20,44,36,Silty Clay Loam,
247989,Corn,,No-Till,,Cover Crop,High Crop Diversity,,,,-95.6643,39.3865,S4,S4_B ,Fall,11/27/2023,0,8,6.7,7.2,0.17,NONE,4.4,64,6.3,0.89,38.1,3.8,0.4,2320,322,46,14.7,0,1,79,18,1,10,4.6,171,15.3,11.18,,23,SAND PRESENT,0.1,225.2,52,20,22.96,131.6,15.3,0,7.3,3,,13,2.7,10.3,37,920,113,70,11.7,0.66,3.8,0.43,159,58,2808.73,1.475,54.55,1532.15,12.88,361.73,16.01,449.54,0.41,11.56,11.59,325.43,3.84,107.95,7.74,217.48,0,0,1082.6,38.54,33.86,951.16,0.2124,ALL PREY,2.4082,2.2067,63.4919,1.8515,0.6371,,,24,42,34,Clay Loam,
247990,Corn,,No-Till,,Cover Crop,High Crop Diversity,,,,-95.6666,39.3855,S4,S4_C ,Fall,11/27/2023,0,8,6.2,6.9,0.13,NONE,4.8,101,8.1,1.2,85.8,5.6,0.61,2614,408,18,17.7,5,1,74,19,0,15,5.77,142,5.3,26.79,,60,50,1.4,320.3,69,12.5,25.59,226.4,5.3,0,3.9,4.3,,13,3,10,48,704,133,83,10,1.32,4.1,0.15,141,25,2752.34,1.433,49.84,1371.67,12.08,332.46,11.71,322.32,0,0,9.32,256.65,3.2,88.06,6.13,168.58,0.45,12.37,1049.36,38.13,40.39,1111.65,0.1871,0.009,3.2557,2.6395,23.8368,2.1632,0.5777,,,4,50,46,Silty Clay,
247991,Corn,,No-Till,,Cover Crop,High Crop Diversity,,,,-95.6656,39.3855,S4,S4_D ,Fall,11/27/2023,0,8,6,6.3,0.09,NONE,5.1,65,5.6,0.7,77.3,7.6,0.65,1895,321,34,19.5,36,1,48,14,1,10,2.84,153,11.2,13.66,,47,3,0.01,147.1,67,14,17.62,96,11.2,0,3.6,3.4,,9,1.4,7.6,37,592,124,86,7.7,0.53,3.5,0.12,130,42,2923.21,1.449,50.51,1476.45,11.76,343.69,12.54,366.51,0,0,10.49,306.73,3.42,99.99,7.07,206.73,0.44,12.78,1109.94,37.97,38.56,1127.25,0.2077,0.0087,3.0284,2.5137,26.1446,2.0891,0.514,,,16,46,38,Silty Clay Loam,
247992,Corn,,No-Till,,Cover Crop,High Crop Diversity,,,,-95.6645,39.3853,S4,S4_E ,Fall,11/27/2023,0,8,5.9,6.5,0.11,NONE,5.1,87,7.2,0.91,82.9,5.9,0.52,2200,309,35,18.7,25,1,59,14,1,11,4.11,182,14.6,12.47,,45,SAND PRESENT,0.8,237.7,68,19.6,23.73,130.9,14.6,0,7.1,2.6,,12,2.1,9.9,51,709,106,86,10,0.67,3.5,0.11,131,39,3720.04,1.506,51.4,1911.95,11.67,434.18,13.37,497.44,0.26,9.81,18.03,670.85,3.53,131.29,14.5,539.56,0.35,13,1414.5,38.02,30.22,1124.25,0.3509,0.0068,2.8436,1.9073,5.768,2.1929,0.579,,,24,40,36,Clay Loam,
247993,Corn,,No-Till,,Cover Crop,High Crop Diversity,,,,-95.6666,39.3845,S4,S4_F ,Fall,11/27/2023,0,8,6.5,6.7,0.17,NONE,6.6,287,10.2,3.08,88.4,5.4,0.68,2255,334,12,17.7,16,4,64,16,0,44,5.14,188,16.4,11.46,,38,SAND PRESENT,0.6,363.8,61,22.1,29.22,193.2,16.4,0,6.9,2,,46,20.4,25.6,163,979,72,90,14.6,1.49,3.7,0.2,187,20,5393.19,1.508,53.82,2902.71,13.45,725.46,16.63,896.69,0.23,12.27,15.51,836.6,4.02,216.81,11.49,619.79,0,0,2006.01,37.2,30.67,1653.86,0.2882,ALL PREY,2.2371,1.9431,ALL MONO,2.4835,0.6548,,,10,52,38,Silty Clay Loam,
247995,Corn,,No-Till,,Cover Crop,High Crop Diversity,,,,-95.6656,39.3846,S4,S4_G ,Fall,11/27/2023,0,8,6.3,6.6,0.16,NONE,5.9,195,10.4,1.72,82.2,6,0.66,2099,307,13,17.7,23,3,59,14,0,17,8.46,219,16.7,13.11,,33,SAND PRESENT,1,323.7,58,26.2,28.41,148,16.7,0,8.6,2.4,,17,4.9,12.1,114,912,90,92,12.8,1.36,4.7,0.14,174,24,4959.51,1.499,53.71,2664,12.1,600.13,16,793.43,0.22,11.02,13.47,667.8,4.08,202.33,9.39,465.47,0.24,11.78,1870.57,37.72,32.58,1615.93,0.2507,0.0044,2.3576,1.9493,56.7566,1.8241,0.6537,,,4,56,40,Silty Clay,
247996,Corn,,No-Till,,Cover Crop,High Crop Diversity,,,,-95.6647,39.3845,S4,S4_H ,Fall,11/27/2023,0,8,6.2,6.6,0.14,NONE,5.9,137,9.5,1.43,87.7,5.3,0.49,2067,320,20,17,21,2,60,16,1,15,7.8,161,15.5,10.39,,26,SAND PRESENT,2.1,311.7,62,25.4,26.66,194.2,15.5,0,11.2,3.7,,11,3,8,76,757,97,92,11.1,0.83,3.6,0.12,149,32,3967.61,1.473,50.88,2018.6,11.62,461.06,13.75,545.72,0,0,12.31,488.43,3.73,148.05,8.58,340.37,0.33,13.04,1472.88,37.12,36.48,1447.55,0.242,0.0065,2.699,2.2896,30.2572,2.3576,0.427,,,16,46,38,Silty Clay Loam,
247997,Corn,,No-Till,,Cover Crop,High Crop Diversity,,,,-95.6656,39.3838,S4,S4_I,Fall,11/27/2023,0,8,6.1,6.6,0.26,NONE,5.3,170,8,1.35,73.9,7.2,0.59,2087,314,20,17.4,22,3,60,15,0,17,7.64,135,12.6,10.71,,38,SAND PRESENT,1.4,323.6,61,21.7,26.33,239.3,12.6,0,11,3,,16,4.7,11.3,102,828,93,90,12.6,1.12,5,0.12,162,32,4716.9,1.487,43.94,2072.83,9.96,470.02,12.96,611.53,0,0,18.86,889.48,3.38,159.47,15.48,730,0,0,1461.29,30.98,37.2,1754.59,0.4291,ALL PREY,2.3895,1.7001,3.4586,2.2757,0.5696,,,8,54,38,Silty Clay Loam,
247998,Corn,,No-Till,,Cover Crop,High Crop Diversity,,,,-95.6656,39.3838,S4,S4_J,Fall,11/27/2023,0,8,6.1,6.7,0.32,NONE,4.8,76,9.5,1.18,71.5,6,0.54,2119,313,22,17,21,1,62,15,1,12,6.62,133,11.6,11.47,,52,SAND PRESENT,1.9,287,75,20,24.7,215.8,11.6,0,10.6,2.6,,10,1.9,8.1,48,793,93,79,14.7,0.82,4.1,0.11,151,34,3484.78,1.515,52.4,1825.91,12.26,427.29,14.63,509.81,0.7,24.28,11.04,384.72,2.93,101.95,8.11,282.77,0.7,24.28,1316.1,37.77,35.87,1249.86,0.2107,0.0133,2.5815,2.2876,25.668,1.8456,0.5123,,,14,50,36,Silty Clay Loam,
247959,Corn,,Conventional Till,,No Cover Crop,Low Crop Diversity,,,,-95.6677,39.3826,SS1,SS1_A ,Fall,11/27/2023,0,8,5.1,6.3,0.3,NONE,3,61,5.1,0.41,44.5,14.1,0.58,1676,272,33,18,39,1,46,13,1,8,16.5,105,17.5,6,,49,SAND PRESENT,0.6,48.1,71,34.6,9.21,45.9,17.5,0,33.6,3.1,,9,1.6,7.4,55,539,135,67,6.5,0.56,7.6,0.24,109,37,1446.54,1.422,45.32,655.51,11.7,169.21,10.16,146.93,0,0,11.39,164.81,2.27,32.84,9.12,131.97,0,0,508.58,35.16,43.29,626.22,0.2514,ALL PREY,3.4613,2.7585,ALL MONO,1.4777,0.5488,,,12,50,38,Silty Clay Loam,
247960,Corn,,Conventional Till,,No Cover Crop,Low Crop Diversity,,,,-95.6666,39.3826,SS1,SS1_B ,Fall,11/27/2023,0,8,5.5,6.4,0.32,NONE,4.2,88,6.1,0.81,46.9,11.6,0.69,2299,385,12,21.1,29,1,55,15,0,15,19,107,9.8,10.92,,60,21,1.5,110.9,76,30.4,13.98,103.7,9.8,0,25.2,3,,14,3.8,10.2,51,639,136,66,7.7,0.83,5.7,0.13,132,20,1581.69,1.438,47,743.33,11.46,181.21,11.79,186.53,0,0,13.12,207.52,2.38,37.65,10.74,169.88,0,0,556.8,35.2,39.88,630.84,0.2792,ALL PREY,2.9851,2.2426,5.5792,1.5158,0.6159,,,8,48,44,Silty Clay,
247961,Corn,,Conventional Till,,No Cover Crop,Low Crop Diversity,,,,-95.6656,39.3826,SS1,SS1_C ,Fall,11/27/2023,0,8,6.1,6.6,0.26,NONE,3.5,82,4.7,0.41,25.3,5.2,0.59,2500,352,35,19.7,20,1,63,15,1,8,11.8,124,12.6,9.84,,51,SAND PRESENT,0.01,104.5,75,24.4,14.1,84.2,12.6,0,19.9,2.2,,11,2.8,8.2,40,706,156,56,7.8,0.52,3.6,0.14,126,42,1948.44,1.45,47.68,928.98,12.24,238.42,10.5,204.53,0,0,10.28,200.34,2.7,52.66,7.58,147.68,0.55,10.71,724.45,37.18,41.49,808.41,0.2157,0.0115,3.5421,2.4152,16.5416,1.9298,0.5597,,,16,40,44,Clay,
247962,Corn,,Conventional Till,,No Cover Crop,Low Crop Diversity,,,,-95.6676,39.3815,SS1,SS1_D ,Fall,11/27/2023,0,8,6,6.8,0.34,NONE,2.9,68,3.5,0.24,25.1,6.8,0.53,1995,313,49,15.2,15,1,66,17,1,3,25.2,107,14.7,7.28,,39,SAND PRESENT,2.1,78.3,74,42,11.8,73.1,14.7,0,43.7,4.1,,7,1.3,5.7,43,590,133,51,6.6,0.42,4,0.13,117,57,1869.61,1.492,47.85,894.52,13.07,244.41,11.77,220.05,0,0,10.33,193.17,3.26,60.94,7.07,132.24,0.72,13.55,674.47,36.08,41.1,768.36,0.216,0.0151,3.0651,2.3224,16.4026,1.9643,0.6579,,,22,38,40,Clay,
247963,Corn,,Conventional Till,,No Cover Crop,Low Crop Diversity,,,,-95.6659,39.3815,SS1,SS1_E ,Fall,11/27/2023,0,8,5.7,6.6,0.24,NONE,3.2,108,4.9,0.62,31.6,5.8,0.61,2681,423,23,21.8,21,1,61,16,0,12,13.1,107,7.7,13.9,,52,10,0.5,91.3,71,21.3,12.19,85.7,7.7,0,14.7,2.5,,12,2.8,9.2,50,640,142,60,7.8,0.62,3.7,0.14,127,28,1859.08,1.375,50.07,930.81,12.21,227.08,10.35,192.5,0,0,9.61,178.66,2.67,49.72,6.94,128.95,0,0,738.31,39.71,40.32,749.62,0.1919,ALL PREY,3.8354,2.5709,23.2336,2.1926,0.4599,,,16,42,42,Silty Clay,
247964,Corn,,Conventional Till,,No Cover Crop,Low Crop Diversity,,,,-95.6646,39.382,SS1,SS1_F ,Fall,11/27/2023,0,8,6.2,6.8,0.25,NONE,3.5,74,4.1,0.41,36.2,5.5,0.61,2255,328,17,16.4,13,1,69,17,0,9,14,113,12.6,8.97,,49,8,0.01,104.6,68,26.6,13.88,92.8,12.6,0,22.4,2.3,,12,3.7,8.3,40,690,113,54,8.3,0.44,3.7,0.29,126,21,1686.97,1.427,48.49,817.95,12.02,202.83,12.8,216.01,0,0,9.65,162.78,3.04,51.33,6.61,111.45,0,0,601.94,35.68,41.86,706.24,0.199,ALL PREY,2.7867,2.5378,22.7805,1.8643,0.6557,,,14,46,40,Silty Clay,
247965,Corn,,Conventional Till,,No Cover Crop,Low Crop Diversity,,,,-95.6673,39.3805,SS1,SS1_G ,Fall,11/27/2023,0,8,5.5,6.6,0.22,NONE,2.8,56,5.7,0.33,48.5,9.7,0.52,1716,252,55,15.6,29,1,55,13,2,7,18.3,117,10.7,10.93,,35,SAND PRESENT,0.6,91.4,70,29.6,12.7,78.4,10.7,0,23.2,2.6,,9,1.5,7.5,35,557,137,82,7.4,0.59,6.9,0.19,107,61,1675.96,1.458,47.52,796.5,11.83,198.33,12.88,215.9,0,0,11.62,194.69,3.26,54.68,8.35,140.01,0,0,580.6,34.64,40.86,684.78,0.2444,ALL PREY,2.6893,2.4662,ALL MONO,1.735,0.6363,,,24,42,34,Clay Loam,
247966,Corn,,Conventional Till,,No Cover Crop,Low Crop Diversity,,,,-95.6659,39.3805,SS1,SS1_H ,Fall,11/27/2023,0,8,5.8,6.7,0.17,NONE,2.7,64,5.7,0.46,35.5,7.4,0.52,1778,268,24,14.7,22,1,61,15,1,8,9.12,108,7.7,14.03,,27,SAND PRESENT,0.4,118.5,70,17.2,14.35,110,7.7,0,10.9,2.3,,10,2.4,7.6,37,590,133,63,6.9,0.59,5.2,0.1,114,27,1692.12,1.475,44.44,752,9.86,166.81,16.72,282.94,0,0,13.05,220.75,2.6,43.93,10.45,176.82,0,0,469.06,27.72,42.51,719.37,0.2935,ALL PREY,1.6578,1.8837,5.9692,2.3733,1.3225,,,24,42,34,Clay Loam,
247967,Corn,,Conventional Till,,No Cover Crop,Low Crop Diversity,,,,-95.6642,39.3805,SS1,SS1_I ,Fall,11/27/2023,0,8,7.1,7.2,0.36,LOW,3.1,79,6.7,0.45,14.8,2.3,0.36,3058,283,29,18,0,1,85,13,1,13,12.3,130,16.5,7.88,,35,SAND PRESENT,0.01,177.9,70,28.9,19.64,137.4,16.5,0,24.7,2.9,,23,10.2,12.8,41,1564,102,43,15.5,0.65,5.3,0.18,163,33,1610.26,1.444,50.46,812.57,13.9,223.89,15.95,256.8,0,0,9.39,151.21,2.76,44.44,6.63,106.77,0,0,555.77,34.51,40.15,646.48,0.1861,ALL PREY,2.1642,2.1539,23.9143,2.3756,0.972,,,20,44,36,Silty Clay Loam,
247968,Corn,,Conventional Till,,No Cover Crop,Low Crop Diversity,,,,-95.6659,39.3795,SS1,SS1_J ,Fall,11/27/2023,0,8,6,6.7,0.21,NONE,3.2,63,5,0.33,39.5,6.3,0.66,2123,311,22,16.3,17,1,65,16,1,9,11.8,121,14,8.64,,42,1,0.01,55.1,61,25.8,9.88,45.4,14,0,21.9,2.4,,13,2.9,10.1,38,760,137,73,8.8,0.55,5,0.17,138,27,1211.48,1.35,40.59,491.77,9.94,120.46,8.73,105.8,0,0,6.47,78.36,1.76,21.27,4.71,57.09,0,0,385.98,31.86,52.94,641.34,0.1594,ALL PREY,3.6482,3.1883,13.1043,1.5619,0.4877,,,14,48,38,Silty Clay Loam,
247969,Corn,,Conventional Till,,No Cover Crop,Low Crop Diversity,,,,-95.6642,39.3794,SS1,SS1_K,Fall,11/27/2023,0,8,7.1,7.2,0.21,LOW,3.6,85,6.6,0.51,17.5,2.7,0.44,3132,337,25,18.8,0,1,83,15,1,7,10.7,151,16,9.44,,SAND PRESENT,SAND PRESENT,0.01,158.8,70,26.7,18.83,105.2,16,0,19.3,2.2,,15,3.9,11.1,46,1150,135,57,12.8,0.6,4.4,0.22,159,34,1995.29,1.459,51.77,1032.92,13.28,265.03,13.68,273,0,0,8.88,177.19,3.13,62.4,5.75,114.79,0.75,15.01,759.93,38.09,38.6,770.17,0.1715,0.0145,2.7836,2.3639,16.5683,2.4917,0.6198,,,22,40,38,Clay Loam,
